
# ========== optimize session started at 2026-02-24 08:54:04 ==========
# ========== optimize session ended at 2026-02-24 08:54:15, 0 items, 0B ==========
# ========== optimize session ended at 2026-02-24 08:54:15, 0 items, 0B ==========

# ========== optimize session started at 2026-02-25 10:49:25 ==========
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/ru.onmoon.MarketApp.savedState (20KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/com.google.chrome.for.testing.savedState (8KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/ru.tfinance.tmazing.savedState (12KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/cider.savedState (12KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/ru.cryptopro.cptools.savedState (12KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/ru.cryptopro.CryptoPro-ECP.savedState (8KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/com.amnezia.AmneziaVPN.savedState (8KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/com.google.Chrome.canary.savedState (16KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/com.paragon-software.ntfs.installer.savedState (12KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/org.alacritty.savedState (12KB)
[2026-02-25 10:49:30] [optimize] REMOVED /Users/andreychev/Library/Saved Application State/org.python.PythonLauncher.savedState (12KB)
[2026-02-25 10:49:33] [optimize] REMOVED /Users/andreychev/Library/Application Support/Dock/desktoppicture.db (52KB)
# ========== optimize session ended at 2026-02-25 10:50:15, 14 items, 0B ==========

# ========== optimize session started at 2026-02-25 10:50:19 ==========
# ========== optimize session ended at 2026-02-25 10:50:48, 14 items, 0B ==========

# ========== optimize session started at 2026-02-25 10:50:51 ==========
# ========== optimize session ended at 2026-02-25 10:51:36, 14 items, 0B ==========

# ========== uninstall session started at 2026-02-25 10:56:17 ==========

# ========== clean session started at 2026-02-25 10:57:06 ==========
[2026-02-25 10:57:52] [clean] REMOVED /Library/Logs/DiagnosticReports/.WindowServer_2023-11-08-105411_Philipps-MacBook-Pro.wakeups_resource.diag
[2026-02-25 10:57:52] [clean] REMOVED /Library/Logs/DiagnosticReports/.shutdown_stall_2022-11-15-231421_Philipps-MacBook-Pro.shutdownStall
[2026-02-25 10:57:52] [clean] REMOVED /Library/Logs/DiagnosticReports/.shutdown_stall_2023-03-10-164415_Philipps-MacBook-Pro.shutdownStall
[2026-02-25 10:57:53] [clean] REMOVED /Library/Logs/DiagnosticReports/.DirectoryTools_2025-09-27-173337_Philipps-MacBook-Pro.diag
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2f6.tracev3 (1.9MB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a26b.tracev3 (1.9MB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2e0.tracev3 (1.9MB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2c2.tracev3 (2.0MB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a335.tracev3 (1.9MB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2de.tracev3 (1.9MB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a197.tracev3 (48KB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a306.tracev3 (1.9MB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a24a.tracev3 (1.9MB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2f3.tracev3 (1.9MB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a339.tracev3 (1.9MB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2fc.tracev3 (1.9MB)
[2026-02-25 10:58:02] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2aa.tracev3 (1.2MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2f2.tracev3 (1.9MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a240.tracev3 (484KB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a338.tracev3 (1.9MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a1ad.tracev3 (64KB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2fb.tracev3 (1.9MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a33a.tracev3 (1.9MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2dd.tracev3 (1.9MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a27f.tracev3 (1.8MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2f0.tracev3 (1.9MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a25b.tracev3 (1.9MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a289.tracev3 (692KB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a348.tracev3 (1.9MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a242.tracev3 (1.9MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2df.tracev3 (1.9MB)
[2026-02-25 10:58:03] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a33c.tracev3 (1.8MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a333.tracev3 (1.9MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a280.tracev3 (1.9MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a239.tracev3 (1.9MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a33b.tracev3 (1.9MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2c5.tracev3 (1.9MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a26e.tracev3 (1.9MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a2f1.tracev3 (1.9MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a23a.tracev3 (1.9MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a349.tracev3 (1.9MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a30d.tracev3 (1.9MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a298.tracev3 (1.9MB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/Special/000000000000a288.tracev3 (128KB)
[2026-02-25 10:58:04] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000011d.timesync (8KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000011e.timesync (4KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000125.timesync (4KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000124.timesync (4KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000011c.timesync (4KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000011b.timesync (8KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000122.timesync (4KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000123.timesync (4KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000119.timesync (36KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000011f.timesync (4KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000121.timesync (4KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000120.timesync (4KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000011a.timesync (8KB)
[2026-02-25 10:58:05] [clean] REMOVED /private/var/db/diagnostics/roles.plist (4KB)
[2026-02-25 10:58:06] [clean] REMOVED /private/var/db/DiagnosticPipeline/DRSTaskingDataModel.sqlite (40KB)
[2026-02-25 10:58:06] [clean] REMOVED /private/var/db/DiagnosticPipeline/DRSCKConfigModel.sqlite (24KB)
[2026-02-25 10:58:06] [clean] REMOVED /private/var/db/DiagnosticPipeline/DRSDataModel.sqlite (164KB)
[2026-02-25 10:58:06] [clean] REMOVED /private/var/db/powerlog/Library/PerfPowerTelemetry/ExtendedPersistence/CurrentLog.EPSQL (168KB)
[2026-02-25 10:58:06] [clean] REMOVED /private/var/db/powerlog/Library/PerfPowerTelemetry/XcodeOrganizer/CurrentXcodeOrganizerDB.XCSQL (16KB)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/CloudKit (whitelist)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/Firefox (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.DigiDNA.iMazing2Mac.Mini (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.DigiDNA.iMazing3Mac (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.adobe.AdobeCRDaemon (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.adobe.AdobeIPCBroker (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.adobe.CCXProcess (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.adobe.LightroomClassicCC7 (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.adobe.acc.AdobeCreativeCloud (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.adobe.acc.AdobeDesktopService (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.adobe.acc.Setup (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.adobe.accmac (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.adobe.cc.Install (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.adobe.ccd.helper (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.adobe.lightroomCC (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.anthropic.claudefordesktop (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.anthropic.claudefordesktop.ShipIt (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.AMPDevicesAgent (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.AMPLibraryAgent (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.AppleMediaServices (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.AuthenticationServicesCore.AuthenticationServicesAgent (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.AvatarKit (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.CloudTelemetry (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.DictionaryServices (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.Family-Settings.extension (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.FeatureAccessAgent (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.FileProviderDaemon.AppStoreService (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.HomeKit (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.Music (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.Numbers (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.Safari (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.SoftwareUpdateNotificationManager (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.Spotlight (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.SwiftUI.filePromises-8182ADBD-CED3-4C05-B933-EAC111825FFB (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.SystemProfiler.AboutExtension (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.VideoConference (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.WalletSettingsExtension (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.accountsd (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.akd (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.amsaccountsd (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.amsengagementd (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.amsondevicestoraged (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.ap.PromotedContentJetService (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.ap.adprivacyd (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.appleaccountd (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.appstore (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.appstoreagent (protected)
[2026-02-25 10:58:10] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.appstorecomponentsd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.assistant_cdmd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.betaenrollmentagent (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.bird (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.bookassetd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.bookdatastored (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.businessservicesd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.cache_delete (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.chrono (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.cloudd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.commerce (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.containermanagerd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.ctcategories.service (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.dataaccess.dataaccessd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.duetexpertd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.e5rt.e5bundlecache (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.feedbacklogger (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.findmy.fmfcore (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.findmy.fmipcore (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.findmy.imagecache (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.gamed (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.geoanalyticsd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.helpd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.homed (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.iBooksX (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.iCloudNotificationAgent (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.iTunes (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.iTunesCloud (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.itunescloudd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.managedappdistributionagent (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.nbagent (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.nsservicescache.plist (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.nsurlsessiond (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.parsecd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.passd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.preferencepanes.usercache (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.proactive.eventtracker (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.remindd (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.sharekit.-2417890708855011662.png (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.sharekit.-2971437350600067695.png (protected)
[2026-02-25 10:58:11] [clean] SKIPPED /Users/andreychev/Library/Caches/com.apple.sharekit.-4132246613192027241.png (protected)
